Distance_(µm),Gray_Value
0.0000,121.726
0.8105,149.889
1.6210,178.632
2.4315,195.162
3.2421,200.675
4.0526,179.727
4.8631,141.889
5.6736,101.299
6.4841,67.068
7.2946,47.060
8.1051,45.744
8.9157,54.949
9.7262,69.923
10.5367,82.385
11.3472,87.299
12.1577,90.718
12.9682,101.393
13.7788,113.402
14.5893,139.333
15.3998,166.419
16.2103,193.795
17.0208,201.487
17.8313,188.906
18.6418,158.504
19.4524,114.410
20.2629,78.675
21.0734,51.795
21.8839,46.017
22.6944,49.641
23.5049,65.427
24.3154,79.504
25.1260,85.128
25.9365,89.598
26.7470,95.265
27.5575,106.675
28.3680,127.795
29.1785,157.145
29.9890,182.778
30.7996,200.282
31.6101,198.983
32.4206,169.111
33.2311,133.436
34.0416,91.573
34.8521,60.410
35.6627,44.333
36.4732,49.812
37.2837,58.880
38.0942,73.085
38.9047,86.214
39.7152,87.752
40.5257,92.897
41.3363,99.932
42.1468,120.145
42.9573,145.838
43.7678,172.786
44.5783,198.444
45.3888,201.829
46.1993,184.821
47.0099,148.222
47.8204,108.778
48.6309,68.573
49.4414,49.513
50.2519,46.137
51.0624,54.624
51.8730,70.325
52.6835,82.077
53.4940,87.487
54.3045,91.094
55.1150,97.316
55.9255,109.966
56.7360,133.752
57.5466,164.222
58.3571,189.658
59.1676,202.419
59.9781,193.000
60.7886,163.872
61.5991,121.829
62.4096,82.786
63.2202,54.932
64.0307,44.573
64.8412,52.162
65.6517,64.513
66.4622,78.624
67.2727,86.846
68.0832,91.179
68.8938,93.564
69.7043,103.632
70.5148,124.051
71.3253,154.043
72.1358,180.299
72.9463,200.709
73.7569,201.880
74.5674,179.179
75.3779,138.470
76.1884,98.684
76.9989,64.103
77.8094,46.231
78.6199,48.077
79.4305,59.034
80.2410,75.128
81.0515,84.692
81.8620,89.171
82.6725,94.538
83.4830,98.239
84.2935,115.179
85.1041,142.504
85.9146,173.034
86.7251,193.598
87.5356,206.256
88.3461,191.222
89.1566,155.051
89.9671,112.940
90.7777,75.043
91.5882,50.650
92.3987,45.436
93.2092,53.872
94.0197,68.718
94.8302,82.453
95.6408,87.957
96.4513,90.145
97.2618,97.188
98.0723,105.880
98.8828,130.504
99.6933,158.735
100.5038,188.786
