Laser Delay [ns],TA [mOD]
-400,0.096762
-390,-0.202048
-380,0.089099
-370,-0.156065
-360,-0.274076
-350,0.102291
-340,0.127184
-330,-0.247656
-320,0.089032
-310,0.003405
-300,0.072933
-290,0.222727
-280,0.196587
-270,-0.282199
-260,-0.078890
-250,-0.156636
-240,0.166291
-230,0.211302
-220,0.130729
-210,-0.286273
-200,0.125036
-190,-0.073167
-180,0.021773
-170,0.264505
-160,-0.166122
-150,0.427929
-140,-0.124850
-130,0.386735
-120,0.194716
-110,0.047277
-100,0.398854
-90,-0.226430
-80,0.352966
-70,0.415277
-60,0.289283
-50,0.226290
-40,-0.243251
-30,0.138884
-20,0.288719
-10,0.338269
0,2.131306
10,4.157038
20,5.122655
30,6.626871
40,8.103081
50,10.029360
60,11.394603
70,12.836863
80,14.616271
90,15.788627
100,17.209931
110,18.467576
120,18.552764
130,17.600099
140,17.242601
150,16.823864
160,16.445085
170,16.261869
180,16.187004
190,15.845463
200,15.568062
210,15.188553
220,14.982106
230,14.213994
240,13.921875
250,13.963580
260,13.707679
270,13.369408
280,13.159627
290,12.859297
300,12.727459
310,12.362308
320,12.220573
330,11.655630
340,12.021168
350,11.727149
360,11.218124
370,10.653281
380,10.515063
390,10.964166
400,10.552958
410,10.005465
420,9.899136
430,10.240806
440,9.692109
450,9.511606
460,8.827355
470,8.826495
480,9.190575
490,8.571696
500,8.662796
510,8.390893
520,8.275495
530,7.747557
540,8.040605
550,7.601056
560,7.390545
570,7.862254
580,7.225517
590,6.932914
600,7.551366
610,6.569074
620,7.263030
630,6.321992
640,6.529167
650,6.598669
660,6.174749
670,6.097589
680,6.084190
690,5.660323
700,5.637614
710,6.107744
720,5.374313
730,5.439000
740,5.297376
750,5.189572
760,5.344335
770,5.119216
780,5.245167
790,5.403168
800,4.700432
810,4.273448
820,4.210237
830,4.194715
840,4.260600
850,4.273728
860,4.163397
870,4.662712
880,3.933761
890,4.089342
900,3.606842
910,3.754059
920,3.524386
930,3.879599
940,4.246104
950,3.917878
960,3.285880
970,3.239105
980,3.786469
990,3.268806
1000,3.214736
1010,3.375061
1020,3.194462
1030,2.982812
1040,3.243776
1050,2.871772
1060,3.321500
1070,2.522055
1080,2.845831
1090,3.182117
1100,3.059773
1110,2.664289
1120,2.656906
1130,2.166111
1140,2.629437
1150,2.511719
1160,2.378709
1170,2.198641
1180,2.176572
1190,2.520872
1200,2.444899
1210,1.896778
1220,2.355966
1230,2.244860
1240,1.785394
1250,2.110650
1260,1.879404
1270,2.006512
1280,1.930161
1290,1.603262
1300,1.797981
1310,2.173478
1320,1.405050
1330,1.437868
1340,1.942777
1350,1.706657
1360,2.068779
1370,1.805007
1380,1.151474
1390,1.373018
1400,1.459763
1410,1.530855
1420,1.083509
1430,1.414171
1440,1.629734
1450,1.286224
1460,1.089365
1470,1.134321
1480,1.390779
1490,1.464727
1500,0.710180
1510,1.207057
1520,0.786017
1530,1.040145
1540,1.094281
1550,0.840735
1560,1.500608
1570,1.179076
1580,1.387107
1590,1.097148
1600,0.786772
1610,0.796928
1620,0.788615
1630,0.651473
1640,1.060849
1650,0.776410
1660,1.047752
1670,0.700816
1680,0.660694
1690,0.966757
1700,0.754309
1710,0.729483
1720,0.893339
1730,0.729356
1740,0.707398
1750,0.726411
1760,1.083361
1770,0.866984
1780,0.872108
1790,0.647324
1800,0.827399
1810,0.796366
1820,1.075304
1830,0.381086
1840,0.655095
1850,1.136664
1860,0.521393
1870,0.697612
1880,0.737370
1890,0.483694
1900,0.779085
1910,0.872088
1920,0.487571
1930,0.930851
1940,0.208168
1950,0.257163
1960,0.609491
1970,0.432108
1980,0.723196
1990,0.298729
2000,0.586878
2010,0.216466
2020,0.536997
2030,0.798845
2040,0.535167
2050,0.151513
2060,0.310527
2070,0.153868
2080,0.514947
2090,0.514146
2100,0.430673
2110,0.360938
2120,0.307736
2130,0.327618
2140,0.342163
2150,0.500266
2160,0.374754
2170,0.251584
2180,0.184700
2190,0.278071
2200,0.279818
2210,0.764553
2220,0.332371
2230,0.419128
2240,-0.040628
2250,0.069995
2260,0.659975
2270,0.139913
2280,0.083827
2290,-0.157087
2300,0.712586
2310,0.187548
2320,-0.229163
2330,0.076659
2340,0.066843
2350,0.321999
2360,0.397665
2370,-0.090572
2380,0.413740
2390,0.451923
2400,0.076275
2410,0.168341
2420,0.662948
2430,-0.376069
2440,-0.027617
2450,0.541442
2460,0.104306
2470,0.058375
2480,0.397388
2490,0.407648
2500,0.014271
2510,0.040791
2520,0.021869
2530,0.314671
2540,0.124573
2550,0.279577
2560,0.165801
2570,0.072147
2580,0.013335
2590,-0.056736
2600,0.061671
2610,0.241657
2620,-0.291340
2630,0.388437
2640,-0.040836
2650,-0.036676
2660,0.201977
2670,0.245640
2680,0.064499
2690,0.315687
2700,0.330475
2710,0.345407
2720,-0.005372
2730,-0.286091
2740,0.173557
2750,-0.043453
2760,0.212718
2770,-0.013470
2780,0.266423
2790,-0.140602
2800,-0.016315
2810,0.300553
2820,-0.003670
2830,-0.082531
2840,-0.031955
2850,0.108315
2860,-0.085863
2870,-0.009836
2880,0.098286
2890,0.090010
2900,0.035617
2910,0.195000
2920,0.033022
2930,-0.114844
2940,-0.546418
2950,0.623600
2960,0.157740
2970,-0.187117
2980,-0.039298
2990,0.289942
3000,0.340443
3010,-0.142914
3020,0.445568
3030,-0.042305
3040,0.009055
3050,0.168518
3060,-0.046970
3070,0.091676
3080,-0.061338
3090,-0.256894
3100,0.284167
3110,0.632242
3120,0.257563
3130,-0.011103
3140,0.090514
3150,-0.111613
3160,0.149805
3170,-0.068893
3180,0.318489
3190,-0.391271
3200,-0.028633
3210,0.562951
3220,0.105354
3230,0.007425
3240,0.291839
3250,-0.030568
3260,-0.445086
3270,-0.026901
3280,0.036302
3290,0.651446
