Laser Delay [ns],TA1 [mOD],TA2 [mOD],TA3 [mOD],TA4 [mOD],TA5 [mOD]
-400,-0.109308,-0.121159,-0.007047,0.587693,0.133633
-390,0.123624,0.831097,-0.792537,-0.457132,-0.715292
-380,0.206026,-0.956995,0.235134,1.195799,-0.234468
-370,0.208361,-0.016481,-0.270023,-0.514529,-0.187652
-360,-0.130666,-0.583700,-0.620672,0.228450,-0.263793
-350,-0.074153,-0.752450,0.880723,0.053924,0.403412
-340,-0.102405,-0.140102,0.032899,0.225128,0.620402
-330,0.114194,0.057710,-0.574973,-0.600763,-0.234448
-320,-0.154204,0.493190,0.397152,0.666455,-0.957435
-310,0.254489,0.731528,-0.781528,0.038697,-0.226161
-300,0.335768,0.116661,0.607571,0.038688,-0.734025
-290,0.260260,-0.189750,0.854589,-0.422194,0.610730
-280,-0.129582,0.352301,0.039945,0.727303,-0.007033
-270,-0.213083,-0.194478,-0.937523,-0.204206,0.138295
-260,0.410890,-0.345220,-0.337836,0.783869,-0.906150
-250,-0.494502,-0.004711,0.092834,-0.726117,0.349315
-240,0.094213,0.067155,0.071627,0.965201,-0.366740
-230,-0.143701,-0.108339,0.499212,-0.323520,1.132858
-220,0.454894,0.060057,0.205614,0.920235,-0.987154
-210,-0.171821,0.068349,-0.426598,-0.227468,-0.673828
-200,0.436844,0.057684,-0.251448,-0.550050,0.932151
-190,-0.429656,-0.672465,-0.142169,0.093775,0.784679
-180,0.094218,-0.684303,0.209140,-0.445738,0.935546
-170,-0.317808,0.422864,0.786037,0.184038,0.247396
-160,-0.100155,0.239157,0.440352,-0.654091,-0.755872
-150,0.112011,-0.232012,0.765420,0.628640,0.865588
-140,-0.235596,0.254460,-0.848033,-0.198200,0.403120
-130,0.025927,-0.064775,0.177454,0.859330,0.935738
-120,0.114328,0.235511,-0.012916,0.245048,0.391605
-110,-0.462066,-0.387479,-0.166779,0.678600,0.574111
-100,0.226135,0.445171,0.607846,-0.381379,1.096499
-90,-0.025936,-0.502981,-0.440399,0.795930,-0.958766
-80,-0.194470,0.175443,0.516421,0.733872,0.533566
-70,-0.226054,0.002355,0.543509,0.739226,1.017350
-60,0.193199,0.318019,-0.036417,0.924734,0.046883
-50,0.203844,0.037680,-0.352272,0.851630,0.390566
-40,0.116617,0.197795,-0.552873,-0.905087,-0.072707
-30,-0.249744,0.521904,-0.562690,0.552345,0.432604
-20,0.163798,-0.341285,0.436101,1.020847,0.164134
-10,0.169792,0.557403,0.398458,0.553972,0.011722
0,2.119452,1.991224,1.341335,3.001723,2.202795
10,3.751661,4.144158,4.365948,3.855976,4.667447
20,4.835891,5.001209,5.270591,5.614328,4.891256
30,6.609894,6.631781,6.560865,5.847694,7.484120
40,8.261051,8.652623,8.225339,7.796541,7.579853
50,10.406824,10.145655,9.502104,10.707583,9.384633
60,11.227114,11.774714,10.906403,12.064308,11.000475
70,13.214152,12.946491,12.908915,12.786639,12.328118
80,13.893372,14.080335,15.000180,14.686897,15.420571
90,15.774385,16.026567,15.580747,15.484374,16.077064
100,16.999795,16.587126,17.501593,17.616476,17.344668
110,17.946112,18.506694,18.850372,18.316533,18.718171
120,17.885631,18.000200,19.014443,18.798386,19.065162
130,17.419713,17.790717,16.668402,17.456565,18.665096
140,17.141573,16.998973,17.347714,16.731839,17.992908
150,17.218441,16.514080,16.169882,17.046242,17.170677
160,16.410399,17.006358,16.464392,15.682633,16.661644
170,16.338785,16.368208,15.864559,17.167464,15.570327
180,15.651062,15.874427,16.849054,17.048532,15.511945
190,15.265455,15.819944,15.871611,16.238720,16.031583
200,15.212195,15.613827,16.222630,15.687229,15.104430
210,14.967496,15.739350,15.060139,14.812020,15.363761
220,15.134975,15.049268,14.660293,14.574858,15.491139
230,14.370948,14.498869,14.408759,13.680095,14.111300
240,14.187328,14.324633,13.997807,13.424941,13.674665
250,13.935086,13.473410,14.487675,14.222802,13.698928
260,13.771855,13.939600,13.650792,13.316372,13.859774
270,13.409005,12.877783,13.254005,13.680048,13.626200
280,13.222938,12.997611,12.353456,14.030973,13.193159
290,13.013652,12.894460,13.022580,12.170706,13.195088
300,12.500275,13.244788,12.442180,12.932371,12.517681
310,12.374012,12.128768,12.671647,11.627780,13.009333
320,12.060078,12.802091,12.369410,11.430286,12.441000
330,11.949365,11.732095,11.247388,11.456480,11.892820
340,11.766213,12.080739,11.971148,11.916904,12.370837
350,11.658342,11.386828,12.654869,10.663378,12.272326
360,11.501661,10.543315,11.215755,10.926063,11.903825
370,11.089886,10.290267,9.908217,11.242899,10.735139
380,11.199069,10.750935,10.377935,10.143392,10.103982
390,10.326080,10.916694,10.576950,11.754490,11.246614
400,10.002214,10.685864,10.490716,10.938704,10.647294
410,10.126998,10.071613,9.302431,10.011225,10.515059
420,9.490938,10.011832,10.395407,9.547021,10.050480
430,9.735073,10.191051,10.763716,9.959558,10.554633
440,9.615945,9.837059,9.715909,9.521657,9.769976
450,9.510600,10.325340,9.393486,9.654660,8.673941
460,9.148473,9.092589,9.075098,8.350078,8.470537
470,8.733744,9.091973,8.889224,8.784722,8.632812
480,9.015872,9.055797,8.542147,9.633655,9.705404
490,8.498174,8.989752,7.703386,8.366501,9.300667
500,8.671924,7.977376,9.276535,9.511594,7.876549
510,7.987427,8.259453,8.464164,9.592203,7.651219
520,7.936724,8.482432,8.114861,7.935613,8.907845
530,8.135550,7.614705,7.002842,8.179152,7.805536
540,7.746530,7.893531,8.346496,8.173958,8.042509
550,7.952989,7.280208,6.675468,8.714837,7.381780
560,7.896694,7.445980,7.876643,6.934572,6.798836
570,7.691604,7.711108,8.138885,7.526664,8.243010
580,6.881486,7.044320,6.788988,7.894393,7.518397
590,7.266894,6.810906,6.378752,7.412869,6.795148
600,6.895315,7.702886,7.745067,7.310881,8.102679
610,6.842964,6.850642,6.530785,6.594846,6.026136
620,6.905524,7.539058,6.988383,7.625177,7.257010
630,6.520946,6.380011,6.444485,6.619859,5.644660
640,6.949739,6.252998,6.514931,6.789288,6.138881
650,6.524704,6.534653,6.813751,6.636352,6.483882
660,6.339475,6.014934,6.380240,6.631325,5.507768
670,5.996010,6.353437,6.910580,5.470070,5.757847
680,6.499511,5.758700,5.969344,5.694589,6.498807
690,5.377425,5.933426,6.440275,5.440259,5.110232
700,5.441669,6.046148,5.648282,5.717648,5.334325
710,5.713788,6.123566,6.140935,6.753179,5.807253
720,4.871432,5.640673,6.391758,4.723449,5.244253
730,5.369228,5.362531,5.521934,5.529763,5.411543
740,5.103891,5.229241,5.728245,5.761449,4.664055
750,5.706091,5.895438,4.156179,4.499212,5.690938
760,4.912744,5.323560,5.781758,6.086568,4.617044
770,4.816262,5.220209,5.627963,5.506278,4.425371
780,4.894753,5.459119,5.508245,4.709639,5.654081
790,4.599289,5.262753,5.809838,5.910196,5.433763
800,5.066205,5.306723,5.042624,4.171093,3.915514
810,5.158337,4.512801,4.336043,3.634792,3.725269
820,5.119700,3.753366,4.093260,4.311527,3.773331
830,4.482413,4.934476,3.704711,3.999371,3.852601
840,4.096913,4.324710,4.361234,4.843613,3.676532
850,3.919384,4.526123,4.681957,4.697049,3.544128
860,4.175831,3.954632,4.817464,3.395347,4.473713
870,4.122255,4.243823,4.802114,4.928827,5.216542
880,4.151439,4.520921,3.626583,3.107299,4.262562
890,3.410898,3.924881,4.294681,4.756525,4.059726
900,3.743864,3.881621,3.207654,3.194962,4.006107
910,4.066952,3.202751,4.268327,3.070301,4.161962
920,3.469047,4.092232,3.137126,4.050188,2.873337
930,4.295369,4.144461,3.113916,3.470232,4.374017
940,3.539475,4.661668,4.572943,4.187715,4.268721
950,3.489813,4.404251,3.053042,4.524437,4.117845
960,3.372610,3.171931,2.838574,2.982253,4.064033
970,3.560638,3.463568,2.811653,3.027589,3.332077
980,3.473854,3.100603,3.703889,4.321238,4.332761
990,3.542856,3.375011,3.374540,2.442737,3.608885
1000,2.851321,3.349728,4.037675,3.487926,2.347030
1010,2.718347,2.582668,4.035522,4.200721,3.338048
1020,3.225611,3.785369,3.722558,2.265479,2.973294
1030,3.495215,2.441298,2.019066,4.015191,2.943289
1040,3.012173,2.991299,3.526896,3.851495,2.837014
1050,2.405634,2.428201,3.866667,3.068196,2.590160
1060,3.011747,3.854085,3.277597,3.601611,2.862457
1070,3.011040,2.039288,3.031155,2.055265,2.473528
